,id,No of bedrooms,No of bathrooms,living area,lot area,No of floors,waterfront present,No of views,house condition(from 5),house grade,house area(excluding basement),Area of the basement,Built Year,Renovation Year,Postal Code,Lattitude,Longitude,living_area_renov,lot_area_renov,No of schools nearby,Distance from the airport,Price,date
0,6762810635,4,2.5,2920,4000,1.5,0,0,5,8,1910,1010,1909,0,122004,52.8878,-114.47,2470,4000,2,51,1400000,05
1,6762810998,5,2.75,2910,9480,1.5,0,0,3,8,2910,0,1939,0,122004,52.8852,-114.468,2940,6600,1,53,1200000,05
2,6762812605,4,2.5,3310,42998,2.0,0,0,3,9,3310,0,2001,0,122005,52.9532,-114.321,3350,42847,3,76,838000,05
3,6762812919,3,2.0,2710,4500,1.5,0,0,4,8,1880,830,1929,0,122006,52.9047,-114.485,2060,4500,1,51,805000,05
4,6762813105,3,2.5,2600,4750,1.0,0,0,4,9,1700,900,1951,0,122007,52.9133,-114.59,2380,4750,1,67,790000,05
5,6762813157,5,3.25,3660,11995,2.0,0,2,3,10,3660,0,2006,0,122008,52.7637,-114.05,3320,11241,3,72,785000,05
6,6762813599,3,1.75,2240,10578,2.0,0,0,5,8,1550,690,1923,0,122006,52.9254,-114.482,1570,10578,3,71,750000,05
7,6762813600,3,2.5,2390,6550,1.0,0,2,4,8,1440,950,1955,0,122009,52.8014,-114.598,2010,6550,1,73,750000,05
8,6762814461,4,2.25,2200,11250,1.5,0,0,5,7,1300,900,1920,0,122010,52.9145,-114.391,2320,10814,2,53,698000,05
9,6762814787,5,2.5,2820,67518,2.0,0,0,3,8,2820,0,1979,0,122011,52.8094,-114.215,2820,48351,2,51,675000,05
10,6762815225,4,2.0,1820,5000,1.5,0,1,3,7,1640,180,1945,0,122006,52.9115,-114.459,2060,5000,2,69,650000,05
11,6762815461,4,2.0,1520,6200,1.5,0,0,3,7,1520,0,1945,0,122006,52.908,-114.459,1910,6200,3,80,640000,05
12,6762815654,4,2.75,2710,37277,2.0,0,0,3,9,2710,0,2000,0,122012,52.6934,-114.177,2390,39299,1,74,630000,05
13,6762815737,3,2.25,1750,1572,2.5,0,0,3,9,1470,280,2005,0,122013,52.8798,-114.511,2410,3050,3,51,626000,05
14,6762815748,4,2.5,2820,8408,2.0,0,0,3,9,2820,0,2014,0,122014,52.9838,-114.515,1300,8408,3,55,625000,05
15,6762815749,4,3.25,2730,54014,1.0,0,0,3,9,1560,1170,2007,0,122015,52.7433,-114.3,2730,111274,1,70,625000,05
16,6762815986,3,1.75,2360,7291,1.0,0,0,4,8,1360,1000,1948,0,122016,52.7574,-114.574,1860,5499,2,75,615000,05
17,6762816059,4,2.5,2730,12261,2.0,0,0,3,9,2730,0,1991,0,122017,52.9719,-114.395,2730,10872,2,70,612500,05
18,6762816236,3,2.5,3240,33151,2.0,0,2,3,10,3240,0,1995,0,122018,52.5556,-114.568,4050,24967,1,71,604000,05
19,6762816633,3,1.75,2330,14892,1.0,0,0,3,8,1970,360,1980,0,122019,52.8567,-114.236,2570,14217,1,60,588500,05
20,6762817449,4,2.5,3310,6500,2.0,0,0,3,8,3310,0,2012,0,122008,52.745,-114.06,2380,5000,2,80,555000,05
21,6762817570,4,2.5,1940,10500,1.0,0,0,4,7,1140,800,1976,0,122005,52.913,-114.304,2200,10500,1,58,550000,05
22,6762817571,3,1.75,2910,35200,1.5,0,0,3,8,2910,0,1979,0,122020,52.8047,-114.225,2590,37500,3,50,550000,05
23,6762819227,4,2.5,2860,3345,2.0,0,0,3,8,2190,670,2004,0,122021,53.0035,-114.348,2860,3596,3,73,499950,05
24,6762819342,4,1.75,1600,6380,1.0,0,0,3,8,1130,470,1959,0,122022,52.931,-114.496,1090,6380,3,50,495000,05
25,6762819448,4,1.75,2190,125452,1.0,0,2,3,9,2190,0,1968,0,122023,52.5003,-114.259,3000,125017,3,64,491500,05
26,6762819463,2,1.0,880,6380,1.0,0,0,3,7,880,0,1938,1,122006,52.9224,-114.512,1340,6380,3,66,490000,05
27,6762819732,4,2.5,2710,35868,2.0,0,0,3,9,2710,0,1989,0,122024,52.605,-114.212,2780,36224,3,71,482000,05
28,6762820114,5,2.5,2210,9655,1.0,0,0,3,8,1460,750,1976,0,122017,52.9998,-114.412,2080,8633,3,79,470000,05
29,6762820382,3,1.75,1710,7320,1.0,0,0,3,7,1710,0,1948,0,122014,52.9812,-114.471,2260,8839,1,72,463000,05
30,6762820510,3,2.5,2680,5539,2.0,0,0,3,8,2680,0,2013,0,122025,52.7061,-113.924,2990,6037,2,74,459990,05
31,6762820718,3,2.5,2430,88426,1.0,0,0,4,7,1570,860,1985,0,122025,52.7128,-113.908,1560,56827,3,78,452500,05
32,6762821047,3,2.5,1270,1180,3.0,0,0,3,8,1270,0,2001,0,122026,52.8997,-114.582,1320,1180,3,61,445700,05
33,6762821205,4,2.25,2160,8119,1.0,0,0,3,8,1080,1080,1966,0,122027,52.7743,-114.367,1850,9000,2,52,440000,05
34,6762821206,2,1.0,800,4850,1.0,0,0,4,7,800,0,1944,0,122026,52.8939,-114.554,1150,4365,2,60,440000,05
35,6762821318,3,2.5,1770,2875,2.0,0,0,3,8,1770,0,1990,0,122009,52.7931,-114.587,1770,3833,3,68,439950,05
36,6762821390,3,2.25,1970,35100,2.0,0,0,4,9,1970,0,1977,0,122012,52.6935,-114.181,2340,35100,2,70,437500,05
37,6762821424,3,2.5,1770,1235,3.0,0,0,3,8,1600,170,2007,0,122028,52.9265,-114.532,1680,1203,3,52,436110,05
38,6762821444,4,1.0,1450,8800,1.0,0,0,4,7,1450,0,1954,0,122027,52.8046,-114.325,1260,8942,2,62,435000,05
39,6762821632,4,1.5,1920,10000,1.0,0,0,4,7,1070,850,1954,0,122027,52.8025,-114.323,1450,10836,2,64,430000,05
